id	group	MapPos	SortKey	LockState	Unknown	Obsolete	Condition	Comment	TODO	connections	line
MicroManufacturing	Hi-Tech_1	point(7546, 2944)								AccumulatorDurability;AtomicAccumulator;AtmosphericCompressionSystems	2757
MicrogravityMedicine	Habitation_2	point(7028, 4096)								WaterCoservationSystem;GeneAdaptation;SustainableArchitecture	2498
MineralApplications	Hi_tech_5	point(6732, 2304)					function (self) return not UndergroundRework106 end			MartianInstituteOfScience;SolarAtmospherePenalty	3288
MineralApplications_AdvancedMineralComposites	Hi_tech_5	point(6954, 2432)				true	function (self) return UndergroundRework106 end				3323
MineralApplications_MineralTreatments	Hi-Tech_1	point(7842, 2944)					function (self) return UndergroundRework106 end			StirlingGenerator;AdaptiveExtractionProtocols	2784
ModularIndustry	Industry_1	point(14724, 5376)				true			"set( ""Test"" )"		3830
MoholeMine	ProjectMohole	point(8360, 2304)								ProjectMohole;MantleFiltrationSystems;MantleExtractionTechniques	7453
MoistureFarming	Sustainability_2	point(7398, 3456)								WaterCoservationSystem;AccumulatorDurability;MegaOxygenStorage;MegaWaterStorage	9619
MolePeople	Breakthroughs	point(13762, 2432)		hidden	true		"function (self) return not IsGameRuleActive(""NoUndergroundAndAsteroids"") end"				1408
MultispiralArchitecture	Breakthroughs	point(14650, 3456)		hidden	true						1440
Mystery_1	Mysteries	point(3550, 5504)		hidden							6558
Mystery_10	Mysteries	point(3550, 5504)		hidden							6569
Mystery_11	Mysteries	point(3550, 5504)		hidden							6580
Mystery_12	Mysteries	point(3550, 5504)		hidden							6591
Mystery_2	Mysteries	point(3550, 5504)		hidden							6602
Mystery_3	Mysteries	point(3550, 5504)		hidden							6613
Mystery_4	Mysteries	point(3550, 5504)		hidden							6624
Mystery_5	Mysteries	point(3550, 5504)		hidden							6635
Mystery_6	Mysteries	point(3550, 5504)		hidden							6646
Mystery_8	Mysteries	point(3550, 5504)		hidden							6657
Mystery_9	Mysteries	point(3550, 5504)		hidden							6668
NanoRefinement	Breakthroughs	point(13318, 2432)		hidden	true						1456
NeoConcrete	Breakthroughs	point(14206, 3712)		hidden	true						1481
NeuralEmpathy	Breakthroughs	point(13984, 3328)		hidden	true						1506
NocturnalAdaptation	Breakthroughs	point(13762, 3456)		hidden	true						1567
NuclearFusion	Hi_tech_2	point(7398, 2432)								FusionAutoregulation;AtomicAccumulator;TriboelectricScrubbing	2886
NuclearTerraforming	Terraforming_3	point(9988, 5376)								PlanetaryProjects;InterplanetaryProjects	10313
NumberSixTracing	Mysteries	point(3846, 5504)		hidden	true						6679
OpenPasture	Habitation_1	point(7620, 4352)							"set( ""Review"" )"	InsidePasture;LowGEngineering	2336
OptimizedTrajectories	Space_3	point(8508, 5632)							"set( ""Test"" )"	MeteorDefenseSystem;AdvancedGravityManeuvers	8736
OrbitalEngineering	Space_3	point(8212, 5888)								AdvancedGravityManeuvers	8765
OverchargeAmplification	Breakthroughs	point(13318, 2176)		hidden	true						1597
OverloadedFactories1	Storybits	point(15686, 640)		hidden	true						9023
OverloadedFactories2	Storybits	point(14650, 1408)		hidden	true						9045
PassageHub	Habitation_2	point(6954, 4224)								SustainableArchitecture;SmartHome	2522
PlanetaryProjects	Terraforming_3	point(10062, 5504)								NuclearTerraforming;TeraTourism	10337
PlanetarySurvey	Space_1	point(8656, 4864)								EarthMarsInitiative;AdaptedProbes;SensorTowers	8287
PlasmaCutters	Industry_1	point(8730, 3456)								LoadBalancingAlgorithms;DronePrinting;RoverPrinting	3865
PlasmaRocket	Breakthroughs	point(13762, 1920)		hidden	true						1740
PlutoniumSynthesis	Breakthroughs	point(13096, 2304)		hidden	true						1768
PolymerLatticeOptimization	Megaprojects_3	point(6436, 1280)							"set( ""Review"" )"	SelfRegulatingStellarCore	5986
PredictiveMaintenance	Industry_3	point(8508, 2816)							"set( ""Review"" )"	MaterialFlowOptimization;AutomatedStorage	4199
PrefabCompression	Breakthroughs	point(15094, 2688)		hidden	true						1787
PrefabRefab	Logistics_4	point(10210, 3456)								SignalBoosters;ThermalCyclingDampeners;TrainCapacity	5613
PressureResistantMachinery	ProjectMohole	point(8582, 2432)							"set( ""Test"" )"	MantleExtractionTechniques;GeostructuralEfficiencyModeling	7479
PrintedElectronics	Breakthroughs	point(14428, 2304)		hidden	true						1824
ProductivityTraining	Society_2	point(7768, 5376)								SystematicTraining;CreativeRealities;LiveFromMars	7863
ProjectMohole	ProjectMohole	point(8360, 2048)						INITIATIVE	"set( ""Review"" )"	MoholeMine	7507
ProjectPhoenix	Breakthroughs	point(13540, 3072)		hidden	true						1840
Purpose of the Spheres	Mysteries	point(3994, 5504)		hidden	true						6692
RapidSleep	Breakthroughs	point(14206, 3200)		hidden	true						1860
ReconCenter	Space_1	point(8878, 4992)								AdvancedMartianEngines;MicroGMining;AdaptedProbes	8329
RejuvenationTreatment	Society_4	point(7250, 5504)								BehavioralShaping	8135
RemoteFarming	Underground_1	point(9988, 3584)								LowGFungi;UndergroundDeepMining;TrainCapacity;LowGHydrosynthsis	10527
ResearchAmplification	Hi_tech_2	point(7250, 2176)								TheMartianNetwork;MartianInstituteOfScience;BatteryCapacity	2910
ResearchCooperation	Storybits	point(15242, 1408)		hidden	true			CRISIS TECH Boost18_ResearchCooperation_Tech			9067
ResilientArchitecture	Industry_4	point(9100, 2816)								FueledExtractors;MarsNoveau	4516
ResilientVegetation	Breakthroughs	point(13762, 2944)		hidden	true		"function (self) return not IsGameRuleActive(""NoTerraforming"") end"				1873
RogueNaniteDeactivation	Storybits	point(14798, 1152)		hidden	true			CRISIS TECH WindsOfChange_2_Typhoon			9080
RogueNanitesAnalysis	Storybits	point(14502, 1152)		hidden	true			WindsOfChange_2_Typhoon			9093
RoverCommandAI	Logistics_2	point(9840, 4096)								BigStations;LuxuriousTrains;LowGHydrosynthsis	5286
RoverPrinting	Industry_3	point(8508, 3072)								EnergyRecoverySystems;MaterialFlowOptimization;PlasmaCutters	4254
SafeMode	Breakthroughs	point(14428, 2816)		hidden	true						1902
SafeTransport	Logistics_2	point(10062, 4224)								DroneHubEfficiency;LuxuriousTrains	5340
SelfRegulatingStellarCore	Megaprojects_3	point(6584, 1536)							"set( ""Review"", ""Test"" )"	MicroFusion;PolymerLatticeOptimization	6016
SelfSealingConduits	Sustainability_3	point(6806, 2688)							"set( ""Test"" )"	DustHardenedVaporators	9846
SelfSufficientLighting	Underground_1	point(11098, 3968)				true					10557
SensorTowers	Space_1	point(8730, 4736)							"set( ""Review"" )"	FuelCompression;PlanetarySurvey;CompactPassengerModule	8373
ServiceBots	Breakthroughs	point(13096, 2560)		hidden	true						1927
ShroudedWindTurbine	Hi_tech_4	point(7546, 1920)							"set( ""Review"" )"	TheMartianNetwork;EnhancedTopographicalExploitation	3183
ShuttleAfterburners1	Storybits	point(15094, 640)		hidden	true						9106
ShuttleAfterburners2	Storybits	point(15834, 384)		hidden	true						9147
ShuttleFuelEfficiency	Logistics_3	point(9618, 4992)							"set( ""Review"" )"	MartianAerodynamics;CompactHangars;InterplanetaryProjects	5509
SignalBoosters	Logistics_4	point(10358, 3456)								PrefabRefab;EvenFasterTrains;DroneSwarm	5634
SimplifiedMechanicalArchitecture	Megaprojects_1	point(9618, 2432)							"set( ""Review"" )"	LargeScaleExcavation;HighYieldAggregateProcessing	5892
SmartHome	Habitation_2	point(6806, 4224)						Needs initiative		GeneAdaptation;HomeCollective;DomeBioscaping;PassageHub	2543
SoilAdaptation	Land	point(8138, 4224)								LandOnMars;LowGHighrise;ExplorerAI;AutonomousSensors	4856
SolExploration	Mysteries	point(3846, 5504)		hidden	true						6709
SolarAtmospherePenalty	Hi_tech_5	point(6584, 2304)							"set( ""Review"" )"	MarsProofSolar;MineralApplications	3350
SolarEnergyInitiative	Hi_tech_5	point(6362, 1920)						INITIATIVE	"set( ""Review"" )"	MarsProofSolar	3372
SolarStoreEnergy	Hi_tech_5	point(6510, 2688)				true			"set( ""Review"" )"		3414
SoylentGreen	Breakthroughs	point(13762, 3200)		hidden	true						1995
SpaceRehabilitation	Breakthroughs	point(14206, 2176)		hidden	true						2008
Space_Farming	Space_3	point(8360, 5376)								DeepAsteroid_Extraction	8785
Special	Storybits	point(1034, 5504)						SPECIAL CENTER	"set( ""Implement"" )"		9176
StElmosFire	Mysteries	point(3846, 5504)		hidden	true						6723
StationsStorage	Logistics_4	point(10358, 3712)							"set( ""Test"" )"	EvenFasterTrains;DroneSwarm	5680
StemReconstruction	Society_4	point(6806, 5248)								BehavioralMelding;BehavioralShaping	8168
StirlingGenerator	Hi-Tech_1	point(7768, 3072)								StorageCompression;AccumulatorDurability;MineralApplications_MineralTreatments	2816
StirlingGeneratorFault	Storybits	point(15390, 1152)		hidden	true						9195
StorageCompression	Sustainability_1	point(7990, 3456)								SubsurfaceHeating;MagneticFiltering;HygroscopicVaporators;StirlingGenerator	9471
Storybit_PosOverride_1	Storybit_PosOverride	point(1034, 5248)		hidden							8803
Storybit_PosOverride_10	Storybit_PosOverride	point(1034, 6016)		hidden							8810
Storybit_PosOverride_11	Storybit_PosOverride	point(590, 5760)		hidden							8817
Storybit_PosOverride_12	Storybit_PosOverride	point(590, 5248)		hidden							8824
Storybit_PosOverride_13	Storybit_PosOverride	point(812, 5120)		hidden							8831
Storybit_PosOverride_14	Storybit_PosOverride	point(1256, 5120)		hidden							8838
Storybit_PosOverride_15	Storybit_PosOverride	point(1478, 5504)		hidden							8845
Storybit_PosOverride_16	Storybit_PosOverride	point(1256, 5888)		hidden							8852
Storybit_PosOverride_17	Storybit_PosOverride	point(812, 5888)		hidden							8859
Storybit_PosOverride_18	Storybit_PosOverride	point(590, 5504)		hidden							8866
Storybit_PosOverride_2	Storybit_PosOverride	point(1256, 5376)		hidden							8873
Storybit_PosOverride_3	Storybit_PosOverride	point(1256, 5632)		hidden							8880
Storybit_PosOverride_4	Storybit_PosOverride	point(1034, 5760)		hidden							8887
Storybit_PosOverride_5	Storybit_PosOverride	point(812, 5632)		hidden							8894
Storybit_PosOverride_6	Storybit_PosOverride	point(812, 5376)		hidden							8901
Storybit_PosOverride_7	Storybit_PosOverride	point(1034, 4992)		hidden							8908
Storybit_PosOverride_8	Storybit_PosOverride	point(1478, 5248)		hidden							8915
Storybit_PosOverride_9	Storybit_PosOverride	point(1478, 5760)		hidden							8922
StructuralLightweighting	Megaprojects_3	point(6658, 1152)							"set( ""Review"" )"	MicroFusion	6038
SubsurfaceHeating	Sustainability_1	point(7916, 3584)								LargeSolarPanels;StorageCompression	9527
SuperconductingComputing	Breakthroughs	point(13318, 2688)		hidden	true						2028
Superfungus	Breakthroughs	point(13096, 3072)		hidden	true						2046
SuperiorCables	Breakthroughs	point(14428, 3328)		hidden	true						2062
SuperiorPipes	Breakthroughs	point(14206, 3456)		hidden	true						2080
SupportiveCommunity	Pride	point(7398, 4736)								MartianbornResilience;MartianEducation	7311
SurveyOffer	Storybits	point(14946, 1408)		hidden	true						9207
SustainableArchitecture	Habitation_2	point(7102, 4224)								MicrogravityMedicine;ExoticMineralMetabolism;LowGEngineering;PassageHub	2583
SustainedWorkload	Breakthroughs	point(14872, 3328)		hidden	true						2098
SystematicTraining	Society_2	point(7620, 5376)								EmergencyTraining;ProductivityTraining;MartianCopyrithgts	7906
TeraTourism	Terraforming_3	point(9988, 5632)								PlanetaryProjects;MagneticFieldGenerator;MegaSatellites	10364
TerraformingAmplification	Terraforming_2	point(6140, 2816)								AdaptedVegetation;TerraformingSubsidies;CarbonateProcessor	10142
TerraformingRover	Land	point(8582, 3968)								ExplorerAI;TransportOptimization;LandOnMars;ExtractorAmplification	4883
TerraformingSubsidies	Terraforming_2	point(6288, 2816)								LakeCrafting;TerraformingAmplification	10175
TheCypher	Storybits	point(14650, 896)		hidden	true						9219
TheIncident	Storybits	point(15390, 640)		hidden	true						9231
TheMartianNetwork	Hi_tech_2	point(7398, 2176)								ResearchAmplification;FusionAutoregulation;ShroudedWindTurbine	2950
ThePositronicBrain	Breakthroughs	point(14428, 3072)		hidden	true						2119
ThermalCyclingDampeners	Industry_5	point(9988, 3072)							"set( ""Review"" )"	PrefabRefab;FactoryAI	4656
TopologyAI	Terraforming_3	point(9766, 5504)								MegaSatellites;InterplanetaryProjects;DeepAsteroidMining	10411
TrainCapacity	Logistics_4	point(10136, 3584)							"set( ""Test"" )"	DroneSwarm;PrefabRefab;RemoteFarming	5705
TrainStations	Logistics_1	point(9100, 4096)							"set( ""Review"" )"	LowGShaftDigging;FactoryAmplification;BatteryOptimization	5116
TransportOptimization	Land	point(8730, 4224)								LandOnMars;LowGShaftDigging;FuelCompression;TerraformingRover	4935
TriboelectricScrubbing	Hi_tech_2	point(7250, 2432)								MartianInstituteOfScience;NuclearFusion;DustHardenedVaporators	2977
TunnelingMars	Logistics_1	point(9248, 4352)								LowGDrive;DroneHub;HighPoweredJets	5148
UndergroundDeepMining	Underground_1	point(9766, 3200)					"function (self) return not IsGameRuleActive(""NoUndergroundAndAsteroids"") end"		"set( ""Review"" )"	LowGTunnelSupports;RemoteFarming;FactoryAI;UndergroundWaterExtraction	10570
UndergroundDomes	Underground_1	point(9618, 3712)					function (self) return not UndergroundRework106 end		"set( ""Test"" )"	LowGFungi;LowGExcavationPermits	10596
UndergroundExploitation	Underground_1	point(14576, 4352)		hidden	true						10635
UndergroundFlightSchool	Underground_1	point(9396, 3584)								UndergroundPsychStudies;LowGExcavationPermits	10663
UndergroundLargeDome	Mysteries	point(3772, 5632)		hidden	true		function (self) return not UndergroundRework106 end				6736
UndergroundPsychStudies	Underground_1	point(9470, 3456)								UndergroundFlightSchool;LowGTunnelSupports;UndergroundWaterExtraction	10681
UndergroundWaterExtraction	Underground_1	point(9322, 3200)					"function (self) return not IsGameRuleActive(""NoUndergroundAndAsteroids"") end"		"set( ""Review"" )"	UndergroundDeepMining;UndergroundPsychStudies;ClosedLoopPolymerization;DeepWaterExtraction	10708
UtilityCrops	Habitation_1	point(7768, 4096)								LowGHighrise;LargeSolarPanels;FarmAutomation	2358
VectorPump	Breakthroughs	point(13540, 2560)		hidden	true						2132
ViolentUrges	Storybits	point(15094, 1152)		hidden	true						9243
Vocation-Oriented Society	Breakthroughs	point(13762, 2176)		hidden	true						2148
WasteRockLiquefaction	Industry_5	point(9766, 2944)								FactoryAI;ContinuousOperationProtocols;IndustrialErgonomics	4681
WaterCoservationSystem	Sustainability_2	point(7250, 3712)								MicrogravityMedicine;WaterReclamation;HangingGardens;MoistureFarming	9646
WaterOfPeace	Storybits	point(15538, 384)		hidden	true						9255
WaterReclamation	Sustainability_2	point(7176, 3584)								WaterCoservationSystem;MartianVegetation;MegaWaterStorage	9682
WildfireCure	Mysteries	point(5474, 5504)		hidden	true					WildfireCure_10	6789
WildfireCure_1	Mysteries	point(3846, 5504)		hidden	true					WildfireCure_2	6821
WildfireCure_10	Mysteries	point(5178, 5504)		hidden	true					WildfireCure_9;WildfireCure	6846
WildfireCure_2	Mysteries	point(3994, 5504)		hidden	true					WildfireCure_1;WildfireCure_3	6874
WildfireCure_3	Mysteries	point(4142, 5504)		hidden	true					WildfireCure_2;WildfireCure_4	6902
WildfireCure_4	Mysteries	point(4290, 5504)		hidden	true					WildfireCure_3;WildfireCure_5	6930
WildfireCure_5	Mysteries	point(4438, 5504)		hidden	true					WildfireCure_4;WildfireCure_6	6958
WildfireCure_6	Mysteries	point(4586, 5504)		hidden	true					WildfireCure_5;WildfireCure_7	6986
WildfireCure_7	Mysteries	point(4734, 5504)		hidden	true					WildfireCure_6;WildfireCure_8	7014
WildfireCure_8	Mysteries	point(4882, 5504)		hidden	true					WildfireCure_7;WildfireCure_9	7042
WildfireCure_9	Mysteries	point(5030, 5504)		hidden	true					WildfireCure_8;WildfireCure_10	7070
WilloftheWisp	Mysteries	point(3994, 5504)		hidden	true						7098
WindEnergyInitiative	Hi_tech_4	point(7620, 1536)						INITIATIVE	"set( ""Review"" )"	MarsProofTurbines	3205
WindStoreEnergy	Hi_tech_4	point(7842, 2432)				true			"set( ""Review"" )"		3248
WindTurbineRedesign	Storybits	point(14946, 896)		hidden	true			DesignFlaw			9280
WirelessPower	Breakthroughs	point(14650, 2432)		hidden	true						2171
Xeno-Terraforming	Mysteries	point(4142, 5504)		hidden	true						7122
XenoExtraction	Mysteries	point(3032, 5632)		hidden	true						7135
ZeroSpaceComputing	Breakthroughs	point(14650, 3712)		hidden	true						2194
